C,F,H,Time
32,89.599998,49,1621285661
32,89.599998,49,1621285662
32,89.599998,49,1621285664
32,89.599998,49,1621285665
32,89.599998,49,1621285666
32,89.599998,49,1621285668
32,89.599998,49,1621285669
32,89.599998,49,1621285671
32,89.599998,49,1621285672
32,89.599998,49,1621285674
32,89.599998,49,1621285675
32,89.599998,49,1621285677
32,89.599998,49,1621285678
32,89.599998,49,1621285679
32,89.599998,49,1621285681
32,89.599998,49,1621285682
32,89.599998,49,1621285684
32,89.599998,49,1621285685
32,89.599998,49,1621285687
32,89.599998,49,1621285688
32,89.599998,49,1621285690
32,89.599998,49,1621285691
32,89.599998,49,1621285694
32,89.599998,49,1621285695
32,89.599998,49,1621285697
32,89.599998,49,1621285698
32,89.599998,49,1621285700
32,89.599998,49,1621285701
32,89.599998,49,1621285703
32,89.599998,49,1621285704
32,89.599998,49,1621285706
32,89.599998,49,1621285707
32,89.599998,49,1621285709
32,89.599998,49,1621285710
32,89.599998,49,1621285712
32,89.599998,49,1621285713
32,89.599998,49,1621285714
32,89.599998,49,1621285716
32,89.599998,49,1621285717
32,89.599998,49,1621285719
32,89.599998,49,1621285720
32,89.599998,49,1621285722
32,89.599998,49,1621285723
32,89.599998,49,1621285725
32,89.599998,49,1621285726
32,89.599998,49,1621285727
32,89.599998,49,1621285729
32,89.599998,49,1621285730
32,89.599998,49,1621285732
32,89.599998,49,1621285733
32,89.599998,49,1621285735
32,89.599998,49,1621285736
32,89.599998,49,1621285738
32,89.599998,49,1621285739
32,89.599998,49,1621285740
32,89.599998,49,1621285742
32,89.599998,49,1621285743
32,89.599998,49,1621285745
32,89.599998,49,1621285746
32,89.599998,49,1621285748
32,89.599998,49,1621285749
32,89.599998,49,1621285751
32,89.599998,49,1621285752
32,89.599998,49,1621285755
32,89.599998,49,1621285756
32,89.599998,49,1621285758
32,89.599998,49,1621285759
32,89.599998,49,1621285760
32,89.599998,49,1621285762
32,89.599998,49,1621285763
32,89.599998,49,1621285765
32,89.599998,49,1621285766
32,89.599998,49,1621285768
32,89.599998,49,1621285769
32,89.599998,49,1621285771
32,89.599998,49,1621285773
32,89.599998,49,1621285774
32,89.599998,49,1621285775
32,89.599998,49,1621285777
32,89.599998,49,1621285778
32,89.599998,49,1621285780
32,89.599998,49,1621285781
32,89.599998,49,1621285783
32,89.599998,49,1621285784
32,89.599998,49,1621285786
32,89.599998,49,1621285787
32,89.599998,49,1621285788
32,89.599998,49,1621285790
32,89.599998,49,1621285791
32,89.599998,49,1621285793
32,89.599998,49,1621285794
32,89.599998,49,1621285796
32,89.599998,49,1621285797
32,89.599998,49,1621285798
32,89.599998,49,1621285800
32,89.599998,49,1621285801
32,89.599998,49,1621285803
32,89.599998,49,1621285804
32,89.599998,49,1621285806
32,89.599998,49,1621285807
32,89.599998,49,1621285809
32,89.599998,49,1621285810
32,89.599998,49,1621285811
32,89.599998,49,1621285813
32,89.599998,49,1621285814
32,89.599998,49,1621285817
32,89.599998,49,1621285819
32,89.599998,49,1621285820
32,89.599998,49,1621285821
32,89.599998,49,1621285823
32,89.599998,49,1621285824
32,89.599998,49,1621285826
32,89.599998,49,1621285827
32,89.599998,49,1621285829
32,89.599998,49,1621285830
32,89.599998,49,1621285832
32,89.599998,49,1621285833
32,89.599998,49,1621285834
32,89.599998,49,1621285835
32,89.599998,49,1621285837
32,89.599998,49,1621285838
32,89.599998,49,1621285840
32,89.599998,49,1621285843
32,89.599998,49,1621285844
32,89.599998,49,1621285846
32,89.599998,49,1621285847
32,89.599998,49,1621285848
32,89.599998,49,1621285850
32,89.599998,49,1621285851
32,89.599998,49,1621285853
32,89.599998,49,1621285854
32,89.599998,49,1621285856
32,89.599998,49,1621285857
32,89.599998,49,1621285858
32,89.599998,49,1621285860
32,89.599998,49,1621285861
32,89.599998,49,1621285863
32,89.599998,49,1621285864
32,89.599998,49,1621285866
32,89.599998,49,1621285867
32,89.599998,49,1621285869
32,89.599998,49,1621285870
32,89.599998,49,1621285872
32,89.599998,49,1621285874
32,89.599998,49,1621285876
32,89.599998,49,1621285877
32,89.599998,49,1621285879
32,89.599998,49,1621285880
32,89.599998,49,1621285882
32,89.599998,49,1621285883
32,89.599998,49,1621285884
32,89.599998,49,1621285886
32,89.599998,49,1621285887
32,89.599998,49,1621285889
32,89.599998,49,1621285891
32,89.599998,49,1621285894
32,89.599998,49,1621285895
32,89.599998,49,1621285896
32,89.599998,49,1621285898
32,89.599998,49,1621285899
32,89.599998,49,1621285901
32,89.599998,49,1621285902
32,89.599998,49,1621285904
32,89.599998,49,1621285905
32,89.599998,49,1621285906
32,89.599998,49,1621285908
32,89.599998,49,1621285909
32,89.599998,49,1621285911
32,89.599998,49,1621285912
32,89.599998,49,1621285914
32,89.599998,49,1621285915
32,89.599998,49,1621285917
32,89.599998,49,1621285918
32,89.599998,49,1621285919
32,89.599998,49,1621285921
32,89.599998,49,1621285922
32,89.599998,49,1621285924
32,89.599998,49,1621285925
32,89.599998,49,1621285927
32,89.599998,49,1621285928
32,89.599998,49,1621285929
32,89.599998,49,1621285931
32,89.599998,49,1621285932
32,89.599998,49,1621285934
32,89.599998,49,1621285935
32,89.599998,49,1621285937
32,89.599998,49,1621285938
32,89.599998,49,1621285940
32,89.599998,49,1621285941
32,89.599998,49,1621285942
32,89.599998,49,1621285944
32,89.599998,49,1621285945
32,89.599998,49,1621285947
32,89.599998,49,1621285948
32,89.599998,49,1621285950
32,89.599998,49,1621285951
32,89.599998,49,1621285952
32,89.599998,49,1621285954
32,89.599998,49,1621285955
32,89.599998,49,1621285956
32,89.599998,49,1621285958
32,89.599998,49,1621285959
32,89.599998,49,1621285961
32,89.599998,49,1621285962
32,89.599998,49,1621285964
32,89.599998,49,1621285965
32,89.599998,49,1621285966
32,89.599998,49,1621285968
32,89.599998,49,1621285969
32,89.599998,49,1621285971
32,89.599998,49,1621285972
32,89.599998,49,1621285974
32,89.599998,49,1621285975
32,89.599998,49,1621285977
32,89.599998,49,1621285978
32,89.599998,49,1621285979
32,89.599998,49,1621285981
32,89.599998,49,1621285982
32,89.599998,49,1621285984
32,89.599998,49,1621285987
32,89.599998,49,1621285988
32,89.599998,49,1621285989
32,89.599998,49,1621285991
32,89.599998,49,1621285992
32,89.599998,49,1621285994
32,89.599998,49,1621285995
32,89.599998,49,1621285997
32,89.599998,49,1621285998
32,89.599998,49,1621286000
32,89.599998,49,1621286001
32,89.599998,49,1621286002
32,89.599998,49,1621286004
32,89.599998,49,1621286005
32,89.599998,49,1621286008
32,89.599998,49,1621286009
32,89.599998,49,1621286011
32,89.599998,49,1621286012
32,89.599998,49,1621286014
32,89.599998,49,1621286015
32,89.599998,49,1621286016
32,89.599998,49,1621286018
32,89.599998,49,1621286019
32,89.599998,49,1621286021
32,89.599998,49,1621286024
32,89.599998,49,1621286025
32,89.599998,49,1621286027
32,89.599998,49,1621286028
32,89.599998,49,1621286030
32,89.599998,49,1621286031
32,89.599998,49,1621286032
32,89.599998,49,1621286034
32,89.599998,49,1621286035
32,89.599998,49,1621286037
32,89.599998,49,1621286038
32,89.599998,49,1621286040
32,89.599998,49,1621286041
32,89.599998,49,1621286043
32,89.599998,49,1621286044
32,89.599998,49,1621286046
32,89.599998,49,1621286047
32,89.599998,49,1621286049
32,89.599998,49,1621286050
32,89.599998,49,1621286051
32,89.599998,49,1621286053
32,89.599998,49,1621286056
32,89.599998,49,1621286057
32,89.599998,49,1621286059
32,89.599998,49,1621286060
32,89.599998,49,1621286062
32,89.599998,49,1621286063
32,89.599998,49,1621286064
32,89.599998,49,1621286066
32,89.599998,49,1621286067
32,89.599998,49,1621286069
32,89.599998,49,1621286070
32,89.599998,49,1621286072
32,89.599998,49,1621286073
32,89.599998,49,1621286076
32,89.599998,49,1621286078
32,89.599998,49,1621286081
32,89.599998,49,1621286083
32,89.599998,49,1621286086
32,89.599998,49,1621286087
32,89.599998,49,1621286089
32,89.599998,49,1621286090
32,89.599998,49,1621286092
32,89.599998,49,1621286093
32,89.599998,49,1621286095
32,89.599998,49,1621286096
32,89.599998,49,1621286097
32,89.599998,49,1621286099
32,89.599998,49,1621286100
32,89.599998,49,1621286102
32,89.599998,49,1621286103
32,89.599998,49,1621286105
32,89.599998,49,1621286106
32,89.599998,49,1621286108
32,89.599998,49,1621286109
32,89.599998,49,1621286110
32,89.599998,49,1621286112
32,89.599998,49,1621286113
32,89.599998,49,1621286115
32,89.599998,49,1621286116
32,89.599998,49,1621286118
32,89.599998,49,1621286119
32,89.599998,49,1621286121
32,89.599998,49,1621286122
32,89.599998,49,1621286124
32,89.599998,49,1621286125
32,89.599998,49,1621286126
32,89.599998,49,1621286128
32,89.599998,49,1621286129
32,89.599998,49,1621286131
32,89.599998,49,1621286132
32,89.599998,49,1621286134
32,89.599998,49,1621286135
32,89.599998,49,1621286137
32,89.599998,49,1621286138
32,89.599998,49,1621286139
32,89.599998,49,1621286141
32,89.599998,49,1621286142
32,89.599998,49,1621286144
32,89.599998,49,1621286145
32,89.599998,49,1621286148
32,89.599998,49,1621286149
32,89.599998,49,1621286150
32,89.599998,49,1621286152
32,89.599998,49,1621286153
32,89.599998,49,1621286155
32,89.599998,49,1621286156
32,89.599998,49,1621286157
32,89.599998,49,1621286159
32,89.599998,49,1621286160
32,89.599998,49,1621286162
32,89.599998,49,1621286163
32,89.599998,49,1621286165
32,89.599998,49,1621286166
32,89.599998,49,1621286168
32,89.599998,49,1621286169
32,89.599998,49,1621286170
32,89.599998,49,1621286172
32,89.599998,49,1621286173
32,89.599998,49,1621286175
32,89.599998,49,1621286176
32,89.599998,49,1621286178
32,89.599998,49,1621286179
32,89.599998,49,1621286181
32,89.599998,49,1621286182
32,89.599998,49,1621286184
32,89.599998,49,1621286185
32,89.599998,49,1621286187
32,89.599998,49,1621286188
32,89.599998,49,1621286190
32,89.599998,49,1621286191
32,89.599998,49,1621286192
32,89.599998,49,1621286194
32,89.599998,49,1621286195
32,89.599998,49,1621286197
32,89.599998,49,1621286198
32,89.599998,49,1621286200
32,89.599998,49,1621286201
32,89.599998,49,1621286203
32,89.599998,49,1621286204
32,89.599998,49,1621286205
32,89.599998,49,1621286208
32,89.599998,49,1621286210
32,89.599998,49,1621286211
32,89.599998,49,1621286212
32,89.599998,49,1621286214
32,89.599998,49,1621286215
32,89.599998,49,1621286217
32,89.599998,49,1621286218
32,89.599998,49,1621286220
32,89.599998,49,1621286221
32,89.599998,49,1621286223
32,89.599998,49,1621286224
32,89.599998,49,1621286225
32,89.599998,49,1621286227
32,89.599998,49,1621286228
32,89.599998,49,1621286230
32,89.599998,49,1621286231
32,89.599998,49,1621286233
32,89.599998,49,1621286234
32,89.599998,49,1621286237
32,89.599998,49,1621286238
32,89.599998,49,1621286240
32,89.599998,49,1621286241
32,89.599998,49,1621286243
32,89.599998,49,1621286244
32,89.599998,49,1621286246
32,89.599998,49,1621286247
32,89.599998,49,1621286249
32,89.599998,49,1621286250
32,89.599998,49,1621286251
32,89.599998,49,1621286253
32,89.599998,49,1621286254
32,89.599998,49,1621286256
32,89.599998,49,1621286257
32,89.599998,49,1621286259
32,89.599998,49,1621286260
32,89.599998,49,1621286261
32,89.599998,49,1621286263
32,89.599998,49,1621286264
32,89.599998,49,1621286266
32,89.599998,49,1621286267
32,89.599998,49,1621286269
32,89.599998,49,1621286271
32,89.599998,49,1621286272
32,89.599998,49,1621286273
32,89.599998,49,1621286275
32,89.599998,49,1621286276
32,89.599998,49,1621286278
32,89.599998,49,1621286280
32,89.599998,49,1621286281
32,89.599998,49,1621286283
32,89.599998,49,1621286284
32,89.599998,49,1621286286
32,89.599998,49,1621286287
32,89.599998,49,1621286289
32,89.599998,49,1621286290
32,89.599998,49,1621286291
32,89.599998,49,1621286293
32,89.599998,49,1621286294
32,89.599998,49,1621286296
32,89.599998,49,1621286297
32,89.599998,49,1621286299
32,89.599998,49,1621286300
32,89.599998,49,1621286301
32,89.599998,49,1621286303
32,89.599998,49,1621286304
32,89.599998,49,1621286306
32,89.599998,49,1621286307
32,89.599998,49,1621286309
32,89.599998,49,1621286310
32,89.599998,49,1621286312
32,89.599998,49,1621286313
32,89.599998,49,1621286314
32,89.599998,49,1621286316
32,89.599998,49,1621286317
32,89.599998,49,1621286319
32,89.599998,49,1621286320
32,89.599998,49,1621286322
32,89.599998,49,1621286323
32,89.599998,49,1621286325
32,89.599998,49,1621286326
32,89.599998,49,1621286327
32,89.599998,49,1621286329
32,89.599998,49,1621286330
32,89.599998,49,1621286332
32,89.599998,49,1621286333
32,89.599998,49,1621286334
32,89.599998,49,1621286336
32,89.599998,49,1621286337
32,89.599998,49,1621286339
32,89.599998,49,1621286340
32,89.599998,49,1621286342
32,89.599998,49,1621286343
32,89.599998,49,1621286345
32,89.599998,49,1621286346
32,89.599998,49,1621286347
32,89.599998,49,1621286349
32,89.599998,49,1621286350
32,89.599998,49,1621286352
32,89.599998,49,1621286353
32,89.599998,49,1621286355
32,89.599998,49,1621286356
32,89.599998,49,1621286358
32,89.599998,49,1621286359
32,89.599998,49,1621286360
32,89.599998,49,1621286362
32,89.599998,49,1621286363
32,89.599998,49,1621286365
32,89.599998,49,1621286366
32,89.599998,48,1621286368
32,89.599998,48,1621286369
32,89.599998,48,1621286370
32,89.599998,48,1621286372
32,89.599998,48,1621286373
32,89.599998,48,1621286375