"KEY","C","F","H","Time"
"-M_uyS6XQnRTLECvWNkF","32","89.599998","49","1621285661"
"-M_uyST64Il-so83lRAt","32","89.599998","49","1621285662"
"-M_uySocjMRjNq9CU_Cp","32","89.599998","49","1621285664"
"-M_uyTADZMbKwHBaMw6C","32","89.599998","49","1621285665"
"-M_uyTWkL2htWvRz3f3s","32","89.599998","49","1621285666"
"-M_uyTsLZxlyX4PdT0lm","32","89.599998","49","1621285668"
"-M_uyUDvwcEWwFZe2GwE","32","89.599998","49","1621285669"
"-M_uyU_Xq1iuD_VfLqb4","32","89.599998","49","1621285671"
"-M_uyUw2FwG7pnzos8RC","32","89.599998","49","1621285672"
"-M_uyVHZoxzPtqoHSoBi","32","89.599998","49","1621285674"
"-M_uyVd9XDjSkJt4rm-H","32","89.599998","49","1621285675"
"-M_uyVzk6x0Krrozahnc","32","89.599998","49","1621285677"
"-M_uyWLQU-p__hs1iO-K","32","89.599998","49","1621285678"
"-M_uyWh2JAkX_ZBGsQzj","32","89.599998","49","1621285679"
"-M_uyX2cZSF6vTo0_-MH","32","89.599998","49","1621285681"
"-M_uyXP9mqelxfHzu1dj","32","89.599998","49","1621285682"
"-M_uyXkhh0KoS34aNQ4m","32","89.599998","49","1621285684"
"-M_uyY6FfSTtxtVKccvF","32","89.599998","49","1621285685"
"-M_uyYSlpOa9cTh8c-PZ","32","89.599998","49","1621285687"
"-M_uyYoKmBZjrDqdtygD","32","89.599998","49","1621285688"
"-M_uyZ9rMyw2HTz6ZEgs","32","89.599998","49","1621285690"
"-M_uyZrgmzZBPFLahC1k","32","89.599998","49","1621285691"
"-M_uy_DCE1PCGkZBPOMA","32","89.599998","49","1621285694"
"-M_uy_ZlRHaqb8zNToTs","32","89.599998","49","1621285695"
"-M_uy_vGSEBl4UPs4jdX","32","89.599998","49","1621285697"
"-M_uyaGlK0QgoWi-5jC1","32","89.599998","49","1621285698"
"-M_uyacFL4xuGREBmslT","32","89.599998","49","1621285700"
"-M_uyayqNfc65XKqbwp4","32","89.599998","49","1621285701"
"-M_uybQpqccL0RdG0ElB","32","89.599998","49","1621285703"
"-M_uybmL0oBzXf8kW2tg","32","89.599998","49","1621285704"
"-M_uyc7pIVH1uEpOJduI","32","89.599998","49","1621285706"
"-M_uycUL9zbzIXPFRoYK","32","89.599998","49","1621285707"
"-M_uycpqDIn2pQZ5Dctf","32","89.599998","49","1621285709"
"-M_uydBMPfqHOp1UByiw","32","89.599998","49","1621285710"
"-M_uydZTTGPieSCvjq5U","32","89.599998","49","1621285712"
"-M_uyduyqOO-vHzsZTkd","32","89.599998","49","1621285713"
"-M_uyeGSJwAIOb1f25ke","32","89.599998","49","1621285714"
"-M_uyebzJQi9niOl96rw","32","89.599998","49","1621285716"
"-M_uyeyTR0UtRzCva4xg","32","89.599998","49","1621285717"
"-M_uyfJzeRvZTTNmfsuA","32","89.599998","49","1621285719"
"-M_uyffUopO4Pp4lRzU-","32","89.599998","49","1621285720"
"-M_uyg0zOF6W76pDIY7f","32","89.599998","49","1621285722"
"-M_uygNW6NaI436-Uqj_","32","89.599998","49","1621285723"
"-M_uygj1wOsDLtY5rdLL","32","89.599998","49","1621285725"
"-M_uyh4XOYlRvAxYprg0","32","89.599998","49","1621285726"
"-M_uyhR0mJBL2_OdRmzW","32","89.599998","49","1621285727"
"-M_uyhmWROUllkf4lH9O","32","89.599998","49","1621285729"
"-M_uyi80M4UKE0GQ2I2f","32","89.599998","49","1621285730"
"-M_uyiUZqF2Pv_FZ4WPp","32","89.599998","49","1621285732"
"-M_uyiq2b7M2H0q00NDi","32","89.599998","49","1621285733"
"-M_uyjBZnKPPwk9xFkh-","32","89.599998","49","1621285735"
"-M_uyjY2YWoXLpK3YjRN","32","89.599998","49","1621285736"
"-M_uyjtZYT7YSZvmofRO","32","89.599998","49","1621285738"
"-M_uykF4F6W6Tl6eWTk-","32","89.599998","49","1621285739"
"-M_uykaaN3uS8OfXuhyO","32","89.599998","49","1621285740"
"-M_uykx6WvUFNJEyMdEc","32","89.599998","49","1621285742"
"-M_uylIc4GENujpME4Pn","32","89.599998","49","1621285743"
"-M_uyle8U4WhkoztkmMI","32","89.599998","49","1621285745"
"-M_uym-eFnzCQ8lMICm9","32","89.599998","49","1621285746"
"-M_uymM918fLVKQbY94F","32","89.599998","49","1621285748"
"-M_uymhdGy2uCBpNpsIW","32","89.599998","49","1621285749"
"-M_uyn38SavE5gbT5FB3","32","89.599998","49","1621285751"
"-M_uyniqgxzAEn2pz6YV","32","89.599998","49","1621285752"
"-M_uyo4YD-4ZuiecoJEw","32","89.599998","49","1621285755"
"-M_uyoR3fSTzGPbThFeN","32","89.599998","49","1621285756"
"-M_uyomXC2JiNMW461l7","32","89.599998","49","1621285758"
"-M_uyp82OZubOSCMvBAc","32","89.599998","49","1621285759"
"-M_uypUZqcIMjy6_xprK","32","89.599998","49","1621285760"
"-M_uypq4B6SRX-TuLjkm","32","89.599998","49","1621285762"
"-M_uyqBd076ceyQcHbIn","32","89.599998","49","1621285763"
"-M_uyqYBymp9laxNyjAe","32","89.599998","49","1621285765"
"-M_uyqthwaoSpadhdwVC","32","89.599998","49","1621285766"
"-M_uyrFFA8-vDyC62awW","32","89.599998","49","1621285768"
"-M_uyrathpCpae6qYzmJ","32","89.599998","49","1621285769"
"-M_uyrxN_HtaJt1gBDjK","32","89.599998","49","1621285771"
"-M_uysJa1CLbGrVtdPVd","32","89.599998","49","1621285773"
"-M_uysf4SSUMeMmjZGWV","32","89.599998","49","1621285774"
"-M_uyt0ey9FGiL3VUX4e","32","89.599998","49","1621285775"
"-M_uytNBI2dOpm2cyAuH","32","89.599998","49","1621285777"
"-M_uytih1uuYtbuy_isf","32","89.599998","49","1621285778"
"-M_uyu49-OKZlqonWqPz","32","89.599998","49","1621285780"
"-M_uyuQecudtdPrlwRVk","32","89.599998","49","1621285781"
"-M_uyumEsesiCp7HQ_bv","32","89.599998","49","1621285783"
"-M_uyv7iyMvElGC2FMuc","32","89.599998","49","1621285784"
"-M_uyvUEI6cjMnarDJVo","32","89.599998","49","1621285786"
"-M_uyvpheu7A4PcriYR_","32","89.599998","49","1621285787"
"-M_uywBFnetkPTQDXpgZ","32","89.599998","49","1621285788"
"-M_uywXk7ADwmYA5Rfad","32","89.599998","49","1621285790"
"-M_uywtG33YD8W8lDpze","32","89.599998","49","1621285791"
"-M_uyxErSkX-UFUfANYC","32","89.599998","49","1621285793"
"-M_uyxaOFgBnvyc-lFKJ","32","89.599998","49","1621285794"
"-M_uyxwtzMWNdL6Ks6UN","32","89.599998","49","1621285796"
"-M_uyyIQ2oq68gRQIEaD","32","89.599998","49","1621285797"
"-M_uyydvHmyDwOJJB_Xg","32","89.599998","49","1621285798"
"-M_uyz-RLIcKUD30RZCi","32","89.599998","49","1621285800"
"-M_uyzLxZWZsRcfdSrOR","32","89.599998","49","1621285801"
"-M_uyzhSQUXyDZ68vQzp","32","89.599998","49","1621285803"
"-M_uz-2wfHDiM-YxCYq2","32","89.599998","49","1621285804"
"-M_uz-PSIbnvpH5DB6Hg","32","89.599998","49","1621285806"
"-M_uz-kwj4OfMM655P9V","32","89.599998","49","1621285807"
"-M_uz06SIzrN_5Lt5ga5","32","89.599998","49","1621285809"
"-M_uz0SzpT4NRSa3NTwS","32","89.599998","49","1621285810"
"-M_uz0oWz0xLfNlE8D_k","32","89.599998","49","1621285811"
"-M_uz1A1q391_PbU7U3g","32","89.599998","49","1621285813"
"-M_uz1pKFQWETpv1__sS","32","89.599998","49","1621285814"
"-M_uz2CZ15z8cBURfLB8","32","89.599998","49","1621285817"
"-M_uz2Z780z9wMZIPWgA","32","89.599998","49","1621285819"
"-M_uz2udSMTHcM3qkzQl","32","89.599998","49","1621285820"
"-M_uz3GDdFdfoB7HN1EF","32","89.599998","49","1621285821"
"-M_uz3bjMIhywLz_6td0","32","89.599998","49","1621285823"
"-M_uz3yJ6cnXptt4qrfI","32","89.599998","49","1621285824"
"-M_uz4JogUFfWXodCq1K","32","89.599998","49","1621285826"
"-M_uz4fLdn8TwULwxU3Z","32","89.599998","49","1621285827"
"-M_uz50sq-GMIvRgYVV2","32","89.599998","49","1621285829"
"-M_uz5NOa8KM7AyjTKyU","32","89.599998","49","1621285830"
"-M_uz5iwygqImQtdEQNT","32","89.599998","49","1621285832"
"-M_uz655C2TkseQpnDhO","32","89.599998","49","1621285833"
"-M_uz6RcTR0q8tLVuvo5","32","89.599998","49","1621285834"
"-M_uz6nAvhocKYeRnu2k","32","89.599998","49","1621285835"
"-M_uz78h9O4rV_xeuLWw","32","89.599998","49","1621285837"
"-M_uz7VG6K8uPlD8AieH","32","89.599998","49","1621285838"
"-M_uz8BkUw03t_FqlnAI","32","89.599998","49","1621285840"
"-M_uz8YIl34pPUzZ-06k","32","89.599998","49","1621285843"
"-M_uz8tp4cO-QyDbo3p8","32","89.599998","49","1621285844"
"-M_uz9FN52rdiQ6ELqZW","32","89.599998","49","1621285846"
"-M_uz9auJgvW00EqVSJ2","32","89.599998","49","1621285847"
"-M_uz9xUFAU9XYb-UMHS","32","89.599998","49","1621285848"
"-M_uzAJ0Vqb9P1SQ8GM3","32","89.599998","49","1621285850"
"-M_uzAeZt3t8yv3pZcZ4","32","89.599998","49","1621285851"
"-M_uzB08fol7CJn2O57m","32","89.599998","49","1621285853"
"-M_uzBMj1MnRxtdd5-m6","32","89.599998","49","1621285854"
"-M_uzBiJZdYhsTmu8nDc","32","89.599998","49","1621285856"
"-M_uzC3tcBHcEbzkMaT3","32","89.599998","49","1621285857"
"-M_uzCQQ5L6-admTMwq-","32","89.599998","49","1621285858"
"-M_uzCm1UnpvWdWh7P_4","32","89.599998","49","1621285860"
"-M_uzD7di00EZOnRkiZc","32","89.599998","49","1621285861"
"-M_uzDUElNnjmE777pwa","32","89.599998","49","1621285863"
"-M_uzDpmXIHPUFW6bcjD","32","89.599998","49","1621285864"
"-M_uzEBMpxMWe41Ue2Uk","32","89.599998","49","1621285866"
"-M_uzEXvkXCxMcI0Armt","32","89.599998","49","1621285867"
"-M_uzEtWNIyR5TyEq9ck","32","89.599998","49","1621285869"
"-M_uzFF3zQjLOiUxygI0","32","89.599998","49","1621285870"
"-M_uzFwhupTCEupKE-pp","32","89.599998","49","1621285872"
"-M_uzGIAZykpLMG2tZ8d","32","89.599998","49","1621285874"
"-M_uzGdcaA5yopwQaT0G","32","89.599998","49","1621285876"
"-M_uzH-4mcDHaxctOGzP","32","89.599998","49","1621285877"
"-M_uzHLXziGiVCOiHhrt","32","89.599998","49","1621285879"
"-M_uzHgyD5QQHhBxj81R","32","89.599998","49","1621285880"
"-M_uzI2NYo1SYRuK5jh4","32","89.599998","49","1621285882"
"-M_uzIOqY5Mwb2VdyQQ8","32","89.599998","49","1621285883"
"-M_uzIkHbOoIhNqj3U1d","32","89.599998","49","1621285884"
"-M_uzJ5kFpaBcLfPp005","32","89.599998","49","1621285886"
"-M_uzJSDLMjEZV46WbqQ","32","89.599998","49","1621285887"
"-M_uzK4hlQsI9skd-c6D","32","89.599998","49","1621285889"
"-M_uzKSSvBNrxqrskXkG","32","89.599998","49","1621285891"
"-M_uzKoZ9_SCJTdtngMl","32","89.599998","49","1621285894"
"-M_uzL9zzLFgnp-wXTDM","32","89.599998","49","1621285895"
"-M_uzLWQAVHI0ynpc1cJ","32","89.599998","49","1621285896"
"-M_uzLrpVcRiA1I5JFJ9","32","89.599998","49","1621285898"
"-M_uzMDHRmwu1p2XSYII","32","89.599998","49","1621285899"
"-M_uzMZihq9aumic5v3-","32","89.599998","49","1621285901"
"-M_uzMvCooxfo_1LjB-0","32","89.599998","49","1621285902"
"-M_uzNGgMwjhKMGGf3GJ","32","89.599998","49","1621285904"
"-M_uzNc9N_Q-MJKKSpjE","32","89.599998","49","1621285905"
"-M_uzNychnszfFaWvxM-","32","89.599998","49","1621285906"
"-M_uzOK4XHDbjBp_5pwO","32","89.599998","49","1621285908"
"-M_uzOfYSaiVE5L_xmS2","32","89.599998","49","1621285909"
"-M_uzP108u1pJteVoOxa","32","89.599998","49","1621285911"
"-M_uzPNSjHWRNjjgbDjT","32","89.599998","49","1621285912"
"-M_uzPj-9k4TZC3J2RU2","32","89.599998","49","1621285914"
"-M_uzQ4SXdlrKROuCkZK","32","89.599998","49","1621285915"
"-M_uzQQvhlaThPM24chc","32","89.599998","49","1621285917"
"-M_uzQmNanNn-YE-u5dI","32","89.599998","49","1621285918"
"-M_uzR7oDnDdt3ITx658","32","89.599998","49","1621285919"
"-M_uzRUEYf6XC2yi0JGG","32","89.599998","49","1621285921"
"-M_uzRpgvhgNzUvwCJVo","32","89.599998","49","1621285922"
"-M_uzSB7lH8SYu87LCCb","32","89.599998","49","1621285924"
"-M_uzSX_jwXU_-39knoo","32","89.599998","49","1621285925"
"-M_uzSt0dReGplyXmyyJ","32","89.599998","49","1621285927"
"-M_uzTEV_oVac-fQypPz","32","89.599998","49","1621285928"
"-M_uzT_z-4z9F71101ko","32","89.599998","49","1621285929"
"-M_uzTwQw0JloJn7vt35","32","89.599998","49","1621285931"
"-M_uzUHqGno8eV7ryuog","32","89.599998","49","1621285932"
"-M_uzUdLQb5utonJH7GB","32","89.599998","49","1621285934"
"-M_uzUzlYuC2W1VXJopm","32","89.599998","49","1621285935"
"-M_uzVLD3mIYj6YfA1uV","32","89.599998","49","1621285937"
"-M_uzVgdq45b30xbNvim","32","89.599998","49","1621285938"
"-M_uzW27PJexBapG2JTe","32","89.599998","49","1621285940"
"-M_uzWOaydNOiM6Lcm2I","32","89.599998","49","1621285941"
"-M_uzWk16MgGQxy3-is7","32","89.599998","49","1621285942"
"-M_uzX5_WeNxShplW8kH","32","89.599998","49","1621285944"
"-M_uzXS1D1AZfUS8Vlkb","32","89.599998","49","1621285945"
"-M_uzXnUj7bLKiAtinsv","32","89.599998","49","1621285947"
"-M_uzY8xnyWq9YQFpKNO","32","89.599998","49","1621285948"
"-M_uzYVP-ooHOkeomF-9","32","89.599998","49","1621285950"
"-M_uzYqtzTXo5icdLr4Z","32","89.599998","49","1621285951"
"-M_uzZCKmG14pv4J1yWa","32","89.599998","49","1621285952"
"-M_uzZZTPKp6EulJx6ZH","32","89.599998","49","1621285954"
"-M_uzZuvCh353EZZXw6H","32","89.599998","49","1621285955"
"-M_uz_GMtqaUp_DUzF-_","32","89.599998","49","1621285956"
"-M_uz_bnBWwHVuJvkp7I","32","89.599998","49","1621285958"
"-M_uz_yF6zryALU6ElWe","32","89.599998","49","1621285959"
"-M_uzaJgXhfcLOLBVWfa","32","89.599998","49","1621285961"
"-M_uzafAPPxiuHC5floY","32","89.599998","49","1621285962"
"-M_uzb0dbsY8Wl8UOOpa","32","89.599998","49","1621285964"
"-M_uzbN5ecfDOpkyhucn","32","89.599998","49","1621285965"
"-M_uzbiZumox9PPIphF_","32","89.599998","49","1621285966"
"-M_uzc4-XKhti_ncuVIq","32","89.599998","49","1621285968"
"-M_uzcQQZtYuC0WAuPWF","32","89.599998","49","1621285969"
"-M_uzclqduPipvhmfhFP","32","89.599998","49","1621285971"
"-M_uzd7HssYudm8AfPOQ","32","89.599998","49","1621285972"
"-M_uzdTjDn9aeWxgPyaz","32","89.599998","49","1621285974"
"-M_uzdpBjBl0zINeAwUR","32","89.599998","49","1621285975"
"-M_uzeAdCYItMloraTrh","32","89.599998","49","1621285977"
"-M_uzeX4YLI8P_FmF0pi","32","89.599998","49","1621285978"
"-M_uzesVTnzNSSvsBH3y","32","89.599998","49","1621285979"
"-M_uzfDyRzJaHzuYgKVi","32","89.599998","49","1621285981"
"-M_uzf_SPgvWkISz-VwF","32","89.599998","49","1621285982"
"-M_uzgHCXvEphkKsSMYQ","32","89.599998","49","1621285984"
"-M_uzgci1MndJMQieuye","32","89.599998","49","1621285987"
"-M_uzgzBnjO1w6cirmet","32","89.599998","49","1621285988"
"-M_uzhKeXOI1ZP7EbIy3","32","89.599998","49","1621285989"
"-M_uzhg5ohsNuJKOK63r","32","89.599998","49","1621285991"
"-M_uzi1X3EWPapiE701F","32","89.599998","49","1621285992"
"-M_uziNxQWcdmYqD9lyL","32","89.599998","49","1621285994"
"-M_uzijOvdSjThLPtuql","32","89.599998","49","1621285995"
"-M_uzj4qLOpjoSM28DQv","32","89.599998","49","1621285997"
"-M_uzjRM6ISuepNLCcOQ","32","89.599998","49","1621285998"
"-M_uzjmnmoB8LrHnvOwO","32","89.599998","49","1621286000"
"-M_uzk8GDm6wKu80Wpsp","32","89.599998","49","1621286001"
"-M_uzkUkk4bJskUPMFqc","32","89.599998","49","1621286002"
"-M_uzkqBsFp7l-jY5qjd","32","89.599998","49","1621286004"
"-M_uzlBbywuDwEGDwLLi","32","89.599998","49","1621286005"
"-M_uzlpR2cHnsstkIi5a","32","89.599998","49","1621286008"
"-M_uzmB8j4M-MgdjsN6T","32","89.599998","49","1621286009"
"-M_uzmXoHFms_SkK2M8u","32","89.599998","49","1621286011"
"-M_uzmtYjMjQzT5fJRj9","32","89.599998","49","1621286012"
"-M_uznFq_vv7bFzJJ-ZK","32","89.599998","49","1621286014"
"-M_uznbW8OPfQLeKLJYp","32","89.599998","49","1621286015"
